QP_name,Regularization,Iteration,Cost,Decomp_Flop,Status
acrobot_FU_INDE_RE_INDE_status_4_iter_1,NO_REGULARIZE,1,1294.9982708203856,4,1
acrobot_FU_INDE_RE_INDE_status_4_iter_1,M_PROJECT,1,nan,422,3
acrobot_FU_INDE_RE_INDE_status_4_iter_1,M_MIRROR,36,-23893.118658749965,10320,0
acrobot_FU_INDE_RE_INDE_status_4_iter_1,M_GMW,36,-23893.118658749965,1410,0
acrobot_FU_INDE_RE_INDE_status_4_iter_1,PM_PROJECT,120,-11389.014104240721,2012464.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_1,PM_MIRROR,56,-23893.118658751602,282640.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_1,PM_GMW,99,-23893.118658747633,23900.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_10,NO_REGULARIZE,1,1.1059790261460065,4,1
acrobot_FU_INDE_RE_INDE_status_4_iter_10,M_PROJECT,1,nan,366,3
acrobot_FU_INDE_RE_INDE_status_4_iter_10,M_MIRROR,120,-156631.1279498569,59768,2
acrobot_FU_INDE_RE_INDE_status_4_iter_10,M_GMW,120,-156631.1279498569,5606,2
acrobot_FU_INDE_RE_INDE_status_4_iter_10,PM_PROJECT,120,-2201.2921392313215,1742040.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_10,PM_MIRROR,120,-201814.60905508694,425040.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_10,PM_GMW,120,-47610.49071001138,41560.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_11,NO_REGULARIZE,1,0.018242076060500004,5,1
acrobot_FU_INDE_RE_INDE_status_4_iter_11,M_PROJECT,1,nan,366,3
acrobot_FU_INDE_RE_INDE_status_4_iter_11,M_MIRROR,120,-9979.958577521924,74216,2
acrobot_FU_INDE_RE_INDE_status_4_iter_11,M_GMW,120,-9979.958577521924,6122,2
acrobot_FU_INDE_RE_INDE_status_4_iter_11,PM_PROJECT,120,-153.56933981693516,2440928.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_11,PM_MIRROR,103,-126119.1108494649,940794.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_11,PM_GMW,120,-69276.09224093781,37660.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_12,NO_REGULARIZE,1,-0.016765591095984432,8,1
acrobot_FU_INDE_RE_INDE_status_4_iter_12,M_PROJECT,1,nan,422,3
acrobot_FU_INDE_RE_INDE_status_4_iter_12,M_MIRROR,30,-127.1348147820836,2524,0
acrobot_FU_INDE_RE_INDE_status_4_iter_12,M_GMW,30,-127.1348147820836,958,0
acrobot_FU_INDE_RE_INDE_status_4_iter_12,PM_PROJECT,27,-205.8690396329209,57002.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_12,PM_MIRROR,34,-205.86903963292116,113404.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_12,PM_GMW,52,-205.8690396329208,7150.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_15,NO_REGULARIZE,4,-7.070923426214654,105,1
acrobot_FU_INDE_RE_INDE_status_4_iter_15,M_PROJECT,12,-1.9836770180703927,416,0
acrobot_FU_INDE_RE_INDE_status_4_iter_15,M_MIRROR,16,-1.9836770180745256,816,0
acrobot_FU_INDE_RE_INDE_status_4_iter_15,M_GMW,16,-1.9836770180745256,492,0
acrobot_FU_INDE_RE_INDE_status_4_iter_15,PM_PROJECT,120,-1.8935240501848674,551472.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_15,PM_MIRROR,48,-1.9836770180745074,96264.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_15,PM_GMW,120,-0.07149155582526075,18810.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_3,NO_REGULARIZE,1,-0.01588598763475188,8,1
acrobot_FU_INDE_RE_INDE_status_4_iter_3,M_PROJECT,1,nan,366,3
acrobot_FU_INDE_RE_INDE_status_4_iter_3,M_MIRROR,31,-76588.29320406739,6922,0
acrobot_FU_INDE_RE_INDE_status_4_iter_3,M_GMW,31,-76588.29320406739,1144,0
acrobot_FU_INDE_RE_INDE_status_4_iter_3,PM_PROJECT,63,-76588.29320406739,929058.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_3,PM_MIRROR,72,-76588.29320406736,441160.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_3,PM_GMW,120,-1548.0206698409831,48450.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_4,NO_REGULARIZE,1,0.22269107746646366,4,1
acrobot_FU_INDE_RE_INDE_status_4_iter_4,M_PROJECT,1,nan,366,3
acrobot_FU_INDE_RE_INDE_status_4_iter_4,M_MIRROR,120,-78.96537900886736,86256,2
acrobot_FU_INDE_RE_INDE_status_4_iter_4,M_GMW,120,-78.96537900886736,6552,2
acrobot_FU_INDE_RE_INDE_status_4_iter_4,PM_PROJECT,120,-37.61365131246859,1194168.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_4,PM_MIRROR,87,-91887.2520285869,367858.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_4,PM_GMW,52,-91887.25202787065,7410.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,NO_REGULARIZE,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,M_PROJECT,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,M_MIRROR,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,M_GMW,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,PM_PROJECT,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,PM_MIRROR,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,PM_GMW,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_45,NO_REGULARIZE,2,-105.20608155595163,45,1
