QP_name,Regularization,Iteration,Cost,Status
acrobot_FU_PD_RE_PD_status_2_iter_20,Prototype,8,-0.02309163496364853,0
acrobot_FU_PD_RE_PD_status_2_iter_20,HPIPM,8,-0.023091634960655014,0
acrobot_FU_PD_RE_PD_status_2_iter_3,Prototype,22,58655.468792648455,0
acrobot_FU_PD_RE_PD_status_2_iter_3,HPIPM,22,58655.46879264854,0
acrobot_FU_PD_RE_PD_status_2_iter_30,Prototype,9,-1.9972518935467573e-05,0
acrobot_FU_PD_RE_PD_status_2_iter_30,HPIPM,9,-1.9972515893774844e-05,0
acrobot_FU_PD_RE_PD_status_2_iter_43,Prototype,9,-2.557825252952849e-09,0
acrobot_FU_PD_RE_PD_status_2_iter_43,HPIPM,9,-2.5548249170061754e-09,0
acrobot_FU_PD_RE_PD_status_2_iter_54,Prototype,8,-5.977167186460516e-10,0
acrobot_FU_PD_RE_PD_status_2_iter_54,HPIPM,8,-5.946974936428508e-10,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_15,Prototype,12,0.005769899607903143,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_15,HPIPM,12,0.0057699007235056145,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_24,Prototype,13,-0.0003163539057971021,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_24,HPIPM,13,-0.00031635396711279627,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_33,Prototype,11,-0.016561685659027787,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_33,HPIPM,11,-0.016561685657551214,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_41,Prototype,11,2.1010227994312866e-08,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_41,HPIPM,11,2.104805747861431e-08,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_6,Prototype,11,-0.46186541986308455,0
dubins_car_parallel_parking_FU_PD_RE_PD_status_2_iter_6,HPIPM,11,-0.4618654198234842,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_2,Prototype,9,-178.55324356774506,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_2,HPIPM,9,-178.55324356778675,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_20,Prototype,8,-0.8548326861705936,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_20,HPIPM,8,-0.8548326861701132,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_39,Prototype,8,-0.14616804231281014,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_39,HPIPM,8,-0.1461680423170417,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_54,Prototype,8,-0.0001418981112202756,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_54,HPIPM,8,-0.00014189812276808815,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_84,Prototype,8,-4.1692266499392866e-07,0
free_flying_robot_FU_PD_RE_PD_status_2_iter_84,HPIPM,8,-4.169345868076309e-07,0
furuta_cons_FU_PD_RE_PD_status_2_iter_18,Prototype,7,-0.5099474792445934,0
furuta_cons_FU_PD_RE_PD_status_2_iter_18,HPIPM,7,-0.5099474792451504,0
furuta_cons_FU_PD_RE_PD_status_2_iter_2,Prototype,10,-8.143241808260614,0
furuta_cons_FU_PD_RE_PD_status_2_iter_2,HPIPM,10,-8.143241808260614,0
furuta_cons_FU_PD_RE_PD_status_2_iter_34,Prototype,8,-0.9231298001062608,0
